x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
71,71,0.1,chi2,MNAR,8.4349201191607e-96,0.39631161584098973
71,71,0.2,chi2,MCAR,5.295932527394157e-57,0.38957398601762094
71,71,0.2,chi2,MAR,1.740339409915928e-77,0.40100402870974394
71,71,0.2,chi2,MNAR,8.4349201191607e-96,0.39631161584098973
71,71,0.3,chi2,MCAR,6.3342842613858845e-43,0.3938754306899816
71,71,0.3,chi2,MAR,3.5750232829296784e-71,0.4134042060226837
71,71,0.3,chi2,MNAR,1.846546767182935e-54,0.44546871285953255
71,71,0.4,chi2,MCAR,6.76698143717214e-30,0.3867487695541814
71,71,0.4,chi2,MAR,4.735014318138205e-64,0.42246847140914734
71,71,0.4,chi2,MNAR,1.846546767182935e-54,0.44546871285953255
72,72,0.0,chi2,MCAR,4.335653341316544e-111,0.42527672415114787
72,72,0.0,chi2,MAR,4.335653341316544e-111,0.42527672415114787
72,72,0.0,chi2,MNAR,4.335653341316544e-111,0.42527672415114787
72,72,0.1,chi2,MCAR,4.2267912632235436e-89,0.42440631863645295
72,72,0.1,chi2,MAR,8.023155038518427e-100,0.4274257845728579
72,72,0.1,chi2,MNAR,4.335653341316544e-111,0.42527672415114787
72,72,0.2,chi2,MCAR,3.460865576743365e-70,0.427013993577178
72,72,0.2,chi2,MAR,3.7795418949600383e-90,0.4318362865731076
72,72,0.2,chi2,MNAR,4.335653341316544e-111,0.42527672415114787
72,72,0.3,chi2,MCAR,2.9214565582743543e-61,0.4513156112164816
72,72,0.3,chi2,MAR,1.499586481072251e-88,0.45182545791331813
72,72,0.3,chi2,MNAR,1.2940441558373466e-72,0.5100722560948467
72,72,0.4,chi2,MCAR,3.401056303521797e-46,0.46241979959557494
72,72,0.4,chi2,MAR,3.151861011932144e-75,0.4529629728952637
72,72,0.4,chi2,MNAR,1.2940441558373466e-72,0.5100722560948467
73,73,0.0,chi2,MCAR,2.6039586213338307e-105,0.41457369295709473
73,73,0.0,chi2,MAR,2.6039586213338307e-105,0.41457369295709473
73,73,0.0,chi2,MNAR,2.6039586213338307e-105,0.41457369295709473
73,73,0.1,chi2,MCAR,3.939761221296955e-92,0.43305778282334656
73,73,0.1,chi2,MAR,4.799143460375253e-93,0.41314882224285404
73,73,0.1,chi2,MNAR,2.6039586213338307e-105,0.41457369295709473
73,73,0.2,chi2,MCAR,6.118403828173457e-72,0.4270298562304968
73,73,0.2,chi2,MAR,1.0540820489846837e-77,0.4010333026925086
73,73,0.2,chi2,MNAR,2.6039586213338307e-105,0.41457369295709473
73,73,0.3,chi2,MCAR,1.0059006200304874e-56,0.4415750725117055
73,73,0.3,chi2,MAR,1.1430920880758025e-71,0.41535203552493344
73,73,0.3,chi2,MNAR,4.339025091710392e-66,0.4961184504491872
73,73,0.4,chi2,MCAR,1.6056472674175866e-33,0.40951881320894506
73,73,0.4,chi2,MAR,8.526234912914466e-58,0.4050521155595506
73,73,0.4,chi2,MNAR,4.339025091710392e-66,0.4961184504491872
