x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
1,1,0.1,pearson,MCAR,1.6334581587155549e-180,0.7959755696778334
1,1,0.1,pearson,MAR,3.089613998543647e-190,0.7860893991748424
1,1,0.1,pearson,MNAR,2.3697894171524835e-144,0.7332070671165735
1,1,0.1,spearman,MCAR,8.785734732886023e-180,0.795026907477518
1,1,0.1,spearman,MAR,2.596331334392394e-192,0.7870994827918988
1,1,0.1,spearman,MNAR,1.3063052688731451e-136,0.7239276655825562
1,1,0.2,pearson,MCAR,5.524241054815344e-147,0.7982137739317111
1,1,0.2,pearson,MAR,1.736471724841735e-167,0.7835122149506413
1,1,0.2,pearson,MNAR,8.844117828943796e-108,0.6985680371291836
1,1,0.2,spearman,MCAR,2.0573943102500303e-143,0.7924458045128662
1,1,0.2,spearman,MAR,6.696109214613139e-166,0.7809568706623249
1,1,0.2,spearman,MNAR,7.727235834993727e-89,0.6526246187072539
1,1,0.3,pearson,MCAR,3.0890509671800512e-115,0.8068590324088881
1,1,0.3,pearson,MAR,1.6075083876055397e-147,0.7813561754751991
1,1,0.3,pearson,MNAR,3.9973296197356216e-81,0.666890954087589
1,1,0.3,spearman,MCAR,2.8551767404652236e-112,0.8007929035542443
1,1,0.3,spearman,MAR,9.458356232679227e-140,0.7717502656311876
1,1,0.3,spearman,MNAR,3.1123160554425095e-52,0.5600550493549817
1,1,0.4,pearson,MCAR,1.0665818755848332e-85,0.8176543806807948
1,1,0.4,pearson,MAR,1.2867895230584378e-126,0.7821596577989628
1,1,0.4,pearson,MNAR,1.5365049832416398e-59,0.6404854539134076
1,1,0.4,spearman,MCAR,3.5194655601857837e-82,0.807979797979798
1,1,0.4,spearman,MAR,9.719455898865347e-122,0.7739168980112942
1,1,0.4,spearman,MNAR,5.073931351450693e-34,0.5010442631581157
2,2,0.0,pearson,MCAR,2.309619943056033e-236,0.8127284793809829
2,2,0.0,pearson,MAR,2.309619943056033e-236,0.8127284793809829
2,2,0.0,pearson,MNAR,2.309619943056033e-236,0.8127284793809829
2,2,0.0,spearman,MCAR,2.2272411767747737e-228,0.8048566328566329
2,2,0.0,spearman,MAR,2.2272411767747737e-228,0.8048566328566329
2,2,0.0,spearman,MNAR,2.2272411767747737e-228,0.8048566328566329
2,2,0.1,pearson,MCAR,3.664821971062583e-194,0.8119841139091908
2,2,0.1,pearson,MAR,3.3333884399139006e-199,0.7987072059368179
2,2,0.1,pearson,MNAR,1.5381581189459906e-156,0.7502692187501505
2,2,0.1,spearman,MCAR,4.795109528634522e-183,0.7983815483779749
2,2,0.1,spearman,MAR,9.31827316856596e-212,0.8072665914260634
2,2,0.1,spearman,MNAR,6.701472665233496e-156,0.7543724416362455
2,2,0.2,pearson,MCAR,5.701610548529425e-145,0.8086312148830873
2,2,0.2,pearson,MAR,3.1276823211229235e-172,0.7866436032783566
2,2,0.2,pearson,MNAR,1.986482653880641e-113,0.7103057377156615
2,2,0.2,spearman,MCAR,1.4612166231598219e-140,0.8014816962410256
2,2,0.2,spearman,MAR,9.349898155735723e-190,0.8095065401338464
2,2,0.2,spearman,MNAR,1.1465076964699565e-101,0.6849846592158579
2,2,0.3,pearson,MCAR,2.027678533783992e-113,0.8144578227547121
2,2,0.3,pearson,MAR,1.7054784591503992e-145,0.7813970266707906
2,2,0.3,pearson,MNAR,1.3840395991829487e-81,0.6702994584995713
2,2,0.3,spearman,MCAR,1.139688079810912e-108,0.8045845536689901
2,2,0.3,spearman,MAR,1.3258534889025112e-163,0.811157334690729
2,2,0.3,spearman,MNAR,2.8402051041180087e-61,0.6002562998939022
2,2,0.4,pearson,MCAR,9.953990596300263e-84,0.8020961382351749
