x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
9,9,0.4,kruskal,MCAR,0.00026933152816910333,0.04440853643046426
9,9,0.4,kruskal,MAR,2.393742715156577e-08,0.058803392833108044
9,9,0.4,kruskal,MNAR,0.023934436523754377,0.011480827724164247
10,10,0.0,anova,MCAR,3.535724775171468e-167,0.5395162866052666
10,10,0.0,anova,MAR,3.535724775171468e-167,0.5395162866052666
10,10,0.0,anova,MNAR,3.535724775171468e-167,0.5395162866052666
10,10,0.0,kruskal,MCAR,1.7333568902433427e-07,0.03140049280839632
10,10,0.0,kruskal,MAR,1.7333568902433427e-07,0.03140049280839632
10,10,0.0,kruskal,MNAR,1.7333568902433427e-07,0.03140049280839632
10,10,0.1,anova,MCAR,1.511539025216193e-132,0.5363920284443624
10,10,0.1,anova,MAR,1.7953598071194852e-150,0.5377931988809777
10,10,0.1,anova,MNAR,1.704498990169695e-127,0.48202301722052643
10,10,0.1,kruskal,MCAR,5.355823113895042e-07,0.03632669378093155
10,10,0.1,kruskal,MAR,1.1406609254915878e-06,0.030813577652260216
10,10,0.1,kruskal,MNAR,0.0014071916572049314,0.013998199995382115
10,10,0.2,anova,MCAR,3.220857194564339e-107,0.5430886670681554
10,10,0.2,anova,MAR,3.872460719430535e-132,0.5407043251114086
10,10,0.2,anova,MNAR,2.0868035344154322e-96,0.42897169507313
10,10,0.2,kruskal,MCAR,9.094745573767771e-05,0.02891921941476084
10,10,0.2,kruskal,MAR,3.1352875320411755e-06,0.03186934069817103
10,10,0.2,kruskal,MNAR,0.0036837686578357065,0.0131817206054794
10,10,0.3,anova,MCAR,2.545180835238548e-79,0.5293735906260535
10,10,0.3,anova,MAR,2.7852507547787365e-113,0.5329538758302464
10,10,0.3,anova,MNAR,6.123877413028259e-51,0.3084381530764453
10,10,0.3,kruskal,MCAR,0.0007367048350398475,0.028567369589739166
10,10,0.3,kruskal,MAR,6.0190401235393765e-06,0.03456590667262086
10,10,0.3,kruskal,MNAR,0.03637797533921183,0.008490978937866494
10,10,0.4,anova,MCAR,3.5314405729312157e-53,0.5003113945234337
10,10,0.4,anova,MAR,9.127200369824082e-104,0.5596888434899641
10,10,0.4,anova,MNAR,3.542340748592953e-38,0.26587829309006894
